numero_de_trabajador,distrito,neto_catorcenal_sin_deducciones,complemento_salario_catorcenal,sueldo_diario,amortizacion_infonavit,fonacot,apoyo_de_pasajes,apoyo_vist_familiar,estancia,renta,campamento,apoyo_estudios,gasolina,amv,laborados
1,Villahermosa,5000,0,414.24,0,0,0,0,0,0,0,0,0,0,31
39,Villahermosa,5500,0,454.72,6743.84,0,0,0,0,0,0,0,0,0,31
106,Villahermosa,5000,0,408.97,0,0,1200,0,0,0,0,0,0,0,31
109,Villahermosa,4000,0,323.37,1097.45,0,1200,0,0,0,0,0,0,0,31
111,Villahermosa,7000,0,596.18,0,0,1200,0,0,0,0,0,0,0,31
113,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
114,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
116,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
120,Villahermosa,5000,0,408.97,0,0,1200,0,0,0,0,0,0,0,31
129,Villahermosa,6000,0,501.9,0,0,0,3116,0,0,4000,0,0,0,31
130,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
131,Villahermosa,3500,2500,279.6,0,0,1200,0,0,0,0,0,0,0,31
134,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
135,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
139,Villahermosa,3000,0,228.51,0,0,1200,0,0,0,0,0,0,0,31
141,Villahermosa,5000,0,408.97,0,0,1200,0,0,0,0,0,0,0,31
142,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
143,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
145,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
148,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
149,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
150,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
153,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
154,Villahermosa,5000,0,408.97,0,0,1200,0,0,0,0,0,0,0,31
155,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
156,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
157,Villahermosa,6000,0,501.9,0,0,1200,0,0,0,0,0,0,0,31
159,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
160,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
161,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
162,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
163,Villahermosa,5000,0,408.97,0,0,1200,0,0,0,0,0,0,0,31
164,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
165,Villahermosa,4000,0,870.42,1695.17,0,1200,0,0,0,0,0,0,0,31
166,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
167,Villahermosa,3000,0,228.51,0,0,1200,0,0,0,0,0,0,0,31
168,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
169,Villahermosa,4000,0,323.37,0,0,1200,0,0,0,0,0,0,0,31
440,Villahermosa,6000,0,408.97,7530.02,0,1200,0,0,0,0,0,0,0,31
642,Villahermosa,7000,0,596.18,0,0,0,3116,0,0,4000,0,1600,4500,31
1031,Villahermosa,7000,0,596.18,0,0,0,0,0,5000,0,0,0,0,31
1043,Villahermosa,7000,0,596.18,0,0,1200,0,0,0,0,0,0,0,31
1085,Villahermosa,12000,0,1059,0,0,0,0,0,6000,0,0,2800,4000,31
1088,Villahermosa,7000,0,596.18,15219.62,2960.07,0,0,0,5000,0,0,0,0,31
2046,Villahermosa,7000,0,596.18,0,0,0,0,0,5000,0,0,0,0,31
3004,Villahermosa,14000,0,1253,0,0,0,0,0,0,0,0,2800,6000,31
3010,Villahermosa,6330,0,536.85,0,0,0,0,0,0,0,0,0,0,31
3018,Villahermosa,5500,0,454.72,0,2786.56,1200,0,0,0,0,0,0,0,31
3040,Villahermosa,3000,0,228.51,0,0,1200,0,0,0,0,0,0,0,31
3043,Villahermosa,5500,0,454.72,0,0,0,0,3200,0,0,0,0,0,31
3049,Villahermosa,9000,0,775.9,10772.11,0,0,0,0,5000,0,0,2400,4300,31
3054,Villahermosa,7500,0,634.9,9071.85,0,1200,0,0,0,0,0,0,0,31
3065,Villahermosa,10000,0,870.42,15885.74,0,0,0,0,0,0,0,2800,7500,31
3066,Villahermosa,7000,0,596.18,0,0,0,0,0,0,0,0,0,0,31
3071,Villahermosa,5000,0,408.97,4901.83,0,1200,0,0,0,0,0,0,0,31
3072,Villahermosa,6000,0,501.9,0,0,1200,0,0,0,0,0,0,0,31
3080,Villahermosa,6000,0,501.9,0,2958.28,0,0,0,0,0,0,0,0,31
3093,Villahermosa,6000,0,501.9,0,0,1200,0,0,0,0,0,0,0,31
3095,Villahermosa,7000,0,602.87,0,0,0,0,0,0,0,2333.33,1600,2800,31
3097,Villahermosa,5500,0,454.72,0,0,0,0,0,0,0,0,2000,2660,31
3099,Villahermosa,10000,0,869.34,0,0,0,0,0,0,0,0,0,0,31
3102,Villahermosa,7500,0,633.31,0,0,0,0,0,0,0,0,0,0,31
3107,Villahermosa,12000,0,1060.14,0,0,0,0,0,6000,0,0,0,0,31
3109,Villahermosa,15000,0,1350.4,0,0,0,0,0,6000,0,0,3200,7500,31
3113,Villahermosa,7500,0,633.31,2338.84,0,0,0,0,5000,0,0,0,0,31
3114,Villahermosa,7000,0,586.8,0,0,0,0,0,5000,0,0,0,0,31
3130,Villahermosa,5000,0,408.97,0,0,1200,0,0,0,0,1550,0,0,31
3146,Villahermosa,5000,0,408.97,0,765.32,1200,0,0,0,0,0,0,0,31
3148,Villahermosa,7500,0,633.31,0,0,0,3116,4000,0,0,0,0,0,31
3190,Villahermosa,6000,0,501.9,0,2788.62,1200,0,0,0,0,0,0,0,31
3196,Villahermosa,6000,0,501.9,0,0,1200,0,0,0,0,0,0,0,31
3198,Villahermosa,7000,0,596.18,0,0,1200,0,0,0,0,0,0,0,31
3199,Villahermosa,5000,0,408.97,0,0,1200,0,0,0,0,0,0,0,31
3203,Villahermosa,5000,0,408.97,9426,0,1200,0,0,0,0,0,0,0,31
