numero_de_trabajador,distrito,neto_catorcenal_sin_deducciones,complemento_salario_catorcenal,sueldo_diario,amortizacion_infonavit,fonacot,apoyo_de_pasajes,apoyo_vist_familiar,estancia,renta,campamento,apoyo_estudios,gasolina,amv,laborados
1258,Veracruz,7000.00,1000.00,602.87,2159.55,0.00,0.00,0.00,0.00,5000.00,0.00,0.00,1000.00,0.00,31
3194,Veracruz,7000.00,0.00,602.87,0.00,0.00,0.00,1100.00,0.00,5000.00,0.00,0.00,0.00,0.00,31
27,Veracruz,3000.00,0.00,228.51,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2444,Veracruz,6000.00,1000.00,630.00,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,0.00,31
40,Veracruz,5500.00,0.00,461.00,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2424,Veracruz,6000.00,0.00,503.00,1847.33,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2379,Veracruz,7000.00,0.00,630.12,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,0.00,0.00,0.00,31
3135,Veracruz,6000.00,0.00,508.56,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2240,Veracruz,6500.00,0.00,555.72,1602.12,0.00,1200.00,1100.00,0.00,0.00,2000.00,0.00,0.00,0.00,31
2422,Veracruz,6000.00,0.00,508.56,0.00,0.00,0.00,0.00,0.00,5000.00,0.00,0.00,0.00,0.00,31
2229,Veracruz,10500.00,0.00,803.12,0.00,0.00,0.00,0.00,0.00,6000.00,0.00,0.00,0.00,0.00,31
71,Veracruz,3000.00,0.00,228.51,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,2800.00,0.00,31
68,Veracruz,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2025,Veracruz,4500.00,0.00,361.31,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
73,Veracruz,3000.00,0.00,228.51,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2037,Veracruz,10000.00,0.00,885.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,3000.00,31
70,Veracruz,3000.00,0.00,228.51,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
64,Veracruz,3000.00,0.00,228.51,0.00,0.00,1200.00,1900.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2077,Veracruz,6000.00,0.00,508.16,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2407,Veracruz,5000.00,0.00,414.25,0.00,0.00,0.00,1800.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
56,Veracruz,4200.00,0.00,356.67,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00,31
74,Veracruz,3000.00,0.00,228.51,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
26,Veracruz,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,31
33,Veracruz,6000.00,0.00,508.56,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2067,Veracruz,6000.00,0.00,531.55,0.00,0.00,0.00,1900.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
59,Veracruz,5500.00,0.00,461.41,0.00,0.00,0.00,0.00,0.00,4000.00,0.00,0.00,0.00,0.00,31
72,Veracruz,4000.00,0.00,323.37,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2026,Veracruz,7000.00,0.00,602.87,0.00,0.00,0.00,3000.00,0.00,0.00,2000.00,0.00,0.00,0.00,31
69,Veracruz,5000.00,0.00,414.25,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
60,Veracruz,5400.00,0.00,451.98,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,31
3189,Veracruz,5500.00,0.00,461.41,1012.09,0.00,0.00,2800.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2214,Veracruz,9000.00,0.00,803.03,0.00,0.00,0.00,0.00,0.00,6000.00,0.00,0.00,0.00,0.00,31
53,Veracruz,6000.00,0.00,501.90,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,31
82,Veracruz,3800.00,0.00,319.56,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
4035,Veracruz,6000.00,0.00,503.00,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
101,Veracruz,12000.00,0.00,1074.42,3187.87,0.00,0.00,0.00,0.00,6000.00,0.00,0.00,3200.00,7500.00,31
65,Veracruz,3600.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
