numero_de_trabajador,distrito,neto_catorcenal_sin_deducciones,complemento_salario_catorcenal,sueldo_diario, amortizacion_infonavit , fonacot ,apoyo_de_pasajes,apoyo_vist_familiar,estancia,renta,campamento,apoyo_estudios, gasolina ,amv,laborados
2592,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2520,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
0064,POZA RICA,6000.00,0.00,508.56,0.00,0.00,0.00,0.00,0.00,5000.00,0.00,0.00,0.00,0.00,31
2363,POZA RICA,5000.00,0.00,414.25,929.86,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
1008,POZA RICA,5000.00,0.00,414.25,1490.83,0.00,0.00,0.00,0.00,3000.00,0.00,0.00,0.00,0.00,31
2598,POZA RICA,3400.00,0.00,271.32,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,31
0649,POZA RICA,6000.00,0.00,501.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2600.00,0.00,31
2584,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2270,POZA RICA,5000.00,0.00,414.25,1446.49,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2585,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2034,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2623,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2061,POZA RICA,4000.00,0.00,323.37,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2602,POZA RICA,3400.00,0.00,271.32,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,31
2509,POZA RICA,5000.00,0.00,414.25,4156.31,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2504,POZA RICA,6000.00,0.00,508.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2599,POZA RICA,14000.00,0.00,1279.04,0.00,0.00,0.00,2000.00,0.00,10000.00,0.00,0.00,0.00,0.00,31
0007,POZA RICA,5500.00,0.00,461.41,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2370,POZA RICA,6500.00,0.00,555.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2597,POZA RICA,7000.00,0.00,602.87,0.00,0.00,0.00,0.00,0.00,5000.00,0.00,0.00,0.00,0.00,31
2076,POZA RICA,6500.00,0.00,555.72,2402.71,0.00,0.00,0.00,0.00,3000.00,0.00,0.00,0.00,0.00,31
2569,POZA RICA,5400.00,0.00,451.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2017,POZA RICA,8000.00,0.00,697.18,0.00,0.00,0.00,0.00,0.00,5000.00,0.00,0.00,0.00,0.00,31
2010,POZA RICA,6000.00,1000.00,516.72,0.00,0.00,0.00,0.00,0.00,5000.00,0.00,0.00,0.00,0.00,31
2432,POZA RICA,5000.00,0.00,414.25,1502.48,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2484,POZA RICA,4000.00,0.00,323.37,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2206,POZA RICA,9000.00,0.00,803.12,3734.58,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2495,POZA RICA,4000.00,0.00,323.37,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2603,POZA RICA,4000.00,0.00,323.37,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2311,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2406,POZA RICA,6000.00,0.00,508.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
1048,POZA RICA,6000.00,0.00,508.56,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2502,POZA RICA,3400.00,0.00,271.32,0.00,1232.95,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2126,POZA RICA,5000.00,0.00,414.25,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2527,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2072,POZA RICA,5000.00,0.00,414.25,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2415,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2089,POZA RICA,5500.00,0.00,461.41,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2009,POZA RICA,6000.00,0.00,508.56,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2453,POZA RICA,5000.00,0.00,414.25,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2454,POZA RICA,5000.00,0.00,414.25,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2450,POZA RICA,5000.00,0.00,414.25,0.00,0.00,0.00,0.00,0.00,0.00,1600.00,0.00,0.00,0.00,31
2026,POZA RICA,8000.00,0.00,697.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2298,POZA RICA,7000.00,0.00,602.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2615,POZA RICA,3400.00,0.00,271.32,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2022,POZA RICA,4000.00,0.00,323.37,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2612,POZA RICA,3400.00,0.00,271.32,1227.93,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2475,POZA RICA,4000.00,3000.00,323.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2408,POZA RICA,4000.00,0.00,323.37,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2493,POZA RICA,8000.00,0.00,697.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31
2055,POZA RICA,7000.00,2000.00,602.87,5284.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2400.00,7500.00,31
